,date,vader_prediction,sentiment
0,2021-01-02,0.18332,positive
1,2021-01-03,0.007371428571428571,neutral
2,2021-01-04,0.01100000000000001,neutral
3,2021-01-05,0.1836625,positive
4,2021-01-06,0.2001375,positive
5,2021-01-07,0.020555555555555556,neutral
6,2021-01-08,0.050066666666666655,positive
7,2021-01-09,0.5106,positive
8,2021-01-10,0.130125,positive
9,2021-01-11,0.021824999999999997,neutral
10,2021-01-12,0.06274444444444444,positive
11,2021-01-13,0.059533333333333334,positive
12,2021-01-14,0.11177000000000001,positive
13,2021-01-15,0.1839375,positive
14,2021-01-16,0.0,neutral
15,2021-01-17,0.286875,positive
16,2021-01-18,0.2029125,positive
17,2021-01-19,0.12044000000000002,positive
18,2021-01-20,0.1885222222222222,positive
19,2021-01-21,-0.045533333333333335,neutral
20,2021-01-22,-0.09938,negative
21,2021-01-23,-0.056025000000000005,negative
22,2021-01-24,0.3399,positive
23,2021-01-25,0.011774999999999994,neutral
24,2021-01-26,0.028580000000000005,neutral
25,2021-01-27,-0.11837142857142857,negative
26,2021-01-28,0.04465555555555555,neutral
27,2021-01-29,-0.011589999999999998,neutral
28,2021-01-30,-0.1902,negative
29,2021-01-31,-0.10424285714285715,negative
30,2021-02-01,0.16454,positive
31,2021-02-02,-0.05045999999999999,negative
32,2021-02-03,0.04778,neutral
33,2021-02-04,-0.03242222222222223,neutral
34,2021-02-05,0.1363777777777778,positive
35,2021-02-06,0.0,neutral
36,2021-02-07,-0.0031200000000000117,neutral
37,2021-02-08,0.16772,positive
38,2021-02-09,-0.013340000000000001,neutral
39,2021-02-10,-0.00694,neutral
40,2021-02-11,0.050977777777777775,positive
41,2021-02-12,0.01102857142857143,neutral
42,2021-02-13,0.08568888888888888,positive
43,2021-02-14,0.03771666666666667,neutral
44,2021-02-15,0.1551142857142857,positive
45,2021-02-16,0.0033300000000000053,neutral
46,2021-02-17,0.11435999999999999,positive
47,2021-02-18,-0.08513749999999999,negative
48,2021-02-19,0.18255555555555555,positive
49,2021-02-20,0.215475,positive
50,2021-02-21,-0.23306666666666667,negative
51,2021-02-22,-0.0128375,neutral
52,2021-02-23,0.17094444444444445,positive
53,2021-02-24,0.016880000000000006,neutral
54,2021-02-25,0.22415,positive
55,2021-02-26,0.029929999999999995,neutral
56,2021-02-27,-0.0836875,negative
57,2021-02-28,-0.11128333333333333,negative
58,2021-03-01,0.0682125,positive
59,2021-03-02,0.050775,positive
60,2021-03-03,-0.0817,negative
61,2021-03-04,0.07417777777777777,positive
62,2021-03-05,0.17028,positive
63,2021-03-06,-0.06406666666666666,negative
64,2021-03-07,-0.1366,negative
65,2021-03-08,0.03818,neutral
66,2021-03-09,0.1305875,positive
67,2021-03-10,0.16826000000000002,positive
68,2021-03-11,-0.004677777777777775,neutral
69,2021-03-12,-0.05664285714285715,negative
70,2021-03-13,-0.13616,negative
71,2021-03-14,0.058614285714285716,positive
72,2021-03-15,0.07277777777777777,positive
73,2021-03-16,-0.022600000000000002,neutral
74,2021-03-17,0.19567,positive
75,2021-03-18,0.12775555555555554,positive
76,2021-03-19,-0.018075000000000008,neutral
77,2021-03-20,-0.054799999999999995,negative
78,2021-03-21,-0.3229666666666667,negative
79,2021-03-22,0.14538,positive
80,2021-03-23,0.17501,positive
81,2021-03-24,0.03494,neutral
82,2021-03-25,0.082875,positive
83,2021-03-26,0.20963749999999998,positive
84,2021-03-27,0.228825,positive
85,2021-03-28,0.2202,positive
86,2021-03-29,0.10186999999999999,positive
87,2021-03-30,0.093075,positive
88,2021-03-31,-0.02814444444444444,neutral
89,2021-04-01,0.022789999999999998,neutral
90,2021-04-02,0.2941333333333333,positive
91,2021-04-03,0.29295,positive
92,2021-04-04,0.0,neutral
93,2021-04-05,0.08744444444444445,positive
94,2021-04-06,-0.012783333333333341,neutral
95,2021-04-07,0.09003,positive
96,2021-04-08,0.18836250000000002,positive
97,2021-04-09,0.21894999999999998,positive
98,2021-04-11,-0.08683999999999999,negative
99,2021-04-12,0.010099999999999986,neutral
100,2021-04-13,0.1689285714285714,positive
101,2021-04-14,-0.10424444444444443,negative
102,2021-04-15,0.20807777777777775,positive
103,2021-04-16,-0.01751999999999999,neutral
104,2021-04-17,0.07527142857142857,positive
105,2021-04-18,0.030988888888888885,neutral
106,2021-04-19,-0.005160000000000009,neutral
107,2021-04-20,0.04029090909090909,neutral
108,2021-04-21,0.041170000000000005,neutral
109,2021-04-22,0.10445,positive
110,2021-04-23,-0.015809999999999998,neutral
111,2021-04-24,-0.09385714285714285,negative
112,2021-04-25,0.25654,positive
113,2021-04-26,0.10951111111111111,positive
114,2021-04-27,0.06417777777777778,positive
115,2021-04-28,0.06043333333333334,positive
116,2021-04-29,0.06932,positive
117,2021-04-30,0.06746666666666667,positive
118,2021-05-01,-0.05741428571428571,negative
119,2021-05-02,0.20095,positive
120,2021-05-03,0.08808,positive
121,2021-05-04,0.08302000000000001,positive
122,2021-05-05,0.015099999999999997,neutral
123,2021-05-06,0.08764999999999999,positive
124,2021-05-07,0.01166,neutral
125,2021-05-08,0.10926,positive
126,2021-05-09,0.10988,positive
127,2021-05-10,0.17087,positive
128,2021-05-11,0.03841999999999999,neutral
129,2021-05-12,0.028690000000000004,neutral
130,2021-05-13,0.18988,positive
131,2021-05-14,0.13635,positive
132,2021-05-15,0.10212000000000002,positive
133,2021-05-16,0.101975,positive
134,2021-05-17,-0.166325,negative
135,2021-05-18,0.1247888888888889,positive
136,2021-05-19,-0.02261,neutral
137,2021-05-20,-0.0667,negative
138,2021-05-21,-0.03366666666666666,neutral
139,2021-05-22,0.1840125,positive
140,2021-05-23,0.14049999999999999,positive
141,2021-05-24,0.18483,positive
142,2021-05-25,0.14462,positive
143,2021-05-26,0.03931428571428571,neutral
144,2021-05-27,0.1061125,positive
145,2021-05-28,0.054542857142857136,positive
146,2021-05-29,0.1468,positive
147,2021-05-30,0.13144,positive
148,2021-05-31,-0.05727499999999999,negative
149,2021-06-01,-0.00484,neutral
150,2021-06-02,0.101925,positive
151,2021-06-03,0.1271857142857143,positive
152,2021-06-04,-0.02732,neutral
153,2021-06-05,0.10715,positive
154,2021-06-06,0.10423,positive
155,2021-06-07,-0.005209999999999992,neutral
156,2021-06-08,0.2587285714285714,positive
157,2021-06-09,-0.037,neutral
158,2021-06-10,0.18764999999999998,positive
159,2021-06-11,0.005374999999999984,neutral
160,2021-06-12,0.19253333333333333,positive
161,2021-06-13,0.0,neutral
162,2021-06-14,0.04013333333333333,neutral
163,2021-06-15,0.02732,neutral
164,2021-06-16,0.05179,positive
165,2021-06-17,0.0020499999999999963,neutral
166,2021-06-18,-0.019509999999999993,neutral
167,2021-06-19,-0.1312,negative
168,2021-06-20,-0.003869999999999997,neutral
169,2021-06-21,0.032850000000000004,neutral
170,2021-06-22,-0.03621999999999999,neutral
171,2021-06-23,-0.020319999999999994,neutral
172,2021-06-24,0.04969,neutral
173,2021-06-25,0.033030000000000004,neutral
174,2021-06-26,-0.03511666666666666,neutral
175,2021-06-27,0.0,neutral
176,2021-06-28,0.21566999999999997,positive
177,2021-06-29,0.1837,positive
178,2021-06-30,0.023633333333333333,neutral
179,2021-07-01,0.05233750000000001,positive
180,2021-07-02,0.08239,positive
181,2021-07-03,0.11293750000000001,positive
182,2021-07-04,0.28434,positive
183,2021-07-05,-0.08081111111111111,negative
184,2021-07-06,0.029820000000000006,neutral
185,2021-07-07,-0.034837499999999993,neutral
186,2021-07-08,-0.06351111111111112,negative
187,2021-07-09,0.1520875,positive
188,2021-07-10,-0.14688333333333334,negative
189,2021-07-11,0.0,neutral
190,2021-07-12,0.13593333333333332,positive
191,2021-07-13,0.032244444444444444,neutral
192,2021-07-14,-0.0032700000000000008,neutral
193,2021-07-15,-0.014790000000000003,neutral
194,2021-07-16,-0.007257142857142857,neutral
195,2021-07-17,-0.051066666666666656,negative
196,2021-07-18,0.18085,positive
197,2021-07-19,-0.03391000000000001,neutral
198,2021-07-20,-0.03072222222222222,neutral
199,2021-07-21,0.029080000000000012,neutral
200,2021-07-22,0.18555,positive
201,2021-07-23,0.08237777777777779,positive
202,2021-07-24,0.211225,positive
203,2021-07-25,0.18869999999999998,positive
204,2021-07-26,0.15245999999999998,positive
205,2021-07-27,-0.02652222222222221,neutral
206,2021-07-28,0.0361,neutral
207,2021-07-29,0.09596666666666666,positive
208,2021-07-30,0.1313,positive
209,2021-07-31,0.07946,positive
210,2021-08-01,-0.06364,negative
211,2021-08-02,0.058411111111111115,positive
212,2021-08-03,0.09213333333333334,positive
213,2021-08-04,0.09007000000000001,positive
214,2021-08-05,-0.0683,negative
215,2021-08-06,0.22010000000000002,positive
216,2021-08-07,0.192925,positive
217,2021-08-08,0.20071111111111112,positive
218,2021-08-09,-0.05408888888888889,negative
219,2021-08-10,-0.009399999999999995,neutral
220,2021-08-11,0.06085,positive
221,2021-08-12,0.02682500000000001,neutral
222,2021-08-13,0.10350000000000001,positive
223,2021-08-14,0.0,neutral
224,2021-08-15,0.13445555555555555,positive
225,2021-08-16,-0.07541111111111111,negative
226,2021-08-17,0.08585000000000001,positive
227,2021-08-18,0.018944444444444444,neutral
228,2021-08-19,0.08483,positive
229,2021-08-20,0.21091111111111113,positive
230,2021-08-21,-0.11841666666666667,negative
231,2021-08-22,0.08675999999999999,positive
232,2021-08-23,0.16246666666666665,positive
233,2021-08-24,0.02718750000000001,neutral
234,2021-08-25,0.0,neutral
235,2021-08-26,0.03534,neutral
236,2021-08-27,-0.0895125,negative
237,2021-08-28,-0.023755555555555554,neutral
238,2021-08-29,0.11639999999999999,positive
239,2021-08-30,0.2981,positive
240,2021-08-31,0.07583999999999999,positive
241,2021-09-01,-0.023987500000000002,neutral
242,2021-09-02,-0.01805555555555556,neutral
243,2021-09-03,0.08286666666666667,positive
244,2021-09-04,0.21697499999999997,positive
245,2021-09-05,0.27065,positive
246,2021-09-06,0.06826666666666668,positive
247,2021-09-07,-0.0502375,negative
248,2021-09-08,0.03725555555555556,neutral
249,2021-09-09,0.03852,neutral
250,2021-09-10,0.2460166666666667,positive
251,2021-09-11,-0.16998333333333335,negative
252,2021-09-12,0.01245555555555556,neutral
253,2021-09-13,0.10001428571428571,positive
